7,000000 1,000000 0,647000 3,406000 20,415000 1,221000 26,000000 1,347000 60,000000
7,000000 1,000000 0,549000 3,556000 20,305000 1,189000 25,000000 1,780000 64,000000
8,000000 1,000000 0,661000 3,451000 20,392000 1,271000 31,000000 1,484000 65,000000
6,000000 2,000000 0,817000 2,916000 20,449000 1,213000 37,000000 1,785000 64,000000
6,000000 2,000000 0,749000 3,317000 20,422000 1,243000 29,000000 1,313000 60,000000
7,000000 1,000000 0,657000 3,483000 20,530000 1,199000 25,000000 1,921000 60,000000
6,000000 1,000000 0,547000 3,730000 20,354000 1,316000 28,000000 1,340000 63,000000
7,000000 1,000000 0,515000 3,556000 20,328000 1,301000 24,000000 1,758000 64,000000
7,000000 1,000000 0,678000 3,374000 20,380000 1,188000 23,000000 1,375000 60,000000
12,000000 4,000000 1,988000 12,897000 41,448000 1,793000 45,000000 2,590000 88,000000
15,000000 1,000000 0,594000 3,661000 18,124000 1,043000 38,000000 0,938000 41,000000
12,000000 2,000000 1,129000 2,988000 19,919000 1,205000 21,000000 1,790000 61,000000
5,000000 1,000000 0,501000 2,894000 21,768000 1,375000 24,000000 1,367000 61,000000
9,000000 3,000000 1,046000 4,010000 20,181000 0,913000 19,000000 1,284000 47,000000
8,000000 2,000000 0,716000 3,104000 20,263000 1,022000 16,000000 1,723000 101,000000
8,000000 1,000000 0,501000 3,436000 20,232000 1,172000 23,000000 1,497000 59,000000
6,000000 1,000000 0,504000 2,878000 20,055000 0,917000 22,000000 2,087000 49,000000
8,000000 1,000000 0,575000 2,951000 20,251000 1,206000 25,000000 1,547000 60,000000
16,000000 1,000000 0,501000 2,867000 19,415000 1,423000 14,000000 1,283000 54,000000
8,000000 2,000000 0,816000 3,008000 19,844000 1,165000 25,000000 1,409000 57,000000
6,000000 1,000000 0,501000 3,417000 19,338000 1,442000 24,000000 3,491000 63,000000
8,000000 1,000000 0,567000 3,439000 20,332000 1,193000 25,000000 1,493000 59,000000
8,000000 1,000000 0,514000 2,879000 20,347000 0,988000 15,000000 1,238000 52,000000
7,000000 1,000000 0,664000 3,591000 19,974000 1,210000 23,000000 1,984000 60,000000
7,000000 1,000000 0,526000 2,877000 19,446000 1,316000 17,000000 1,561000 47,000000
8,000000 1,000000 0,537000 3,246000 19,984000 1,306000 20,000000 1,394000 63,000000
8,000000 1,000000 0,501000 2,956000 19,304000 1,474000 22,000000 1,252000 49,000000
5,000000 1,000000 0,806000 2,911000 22,553000 1,195000 20,000000 1,559000 66,000000
7,000000 1,000000 0,871000 3,184000 19,081000 0,694000 9,000000 0,840000 38,000000
7,000000 1,000000 0,549000 2,890000 20,235000 1,261000 25,000000 1,519000 60,000000
9,000000 1,000000 0,606000 3,444000 19,121000 0,738000 9,000000 0,726000 27,000000
7,000000 1,000000 0,738000 3,077000 20,438000 1,331000 23,000000 1,360000 60,000000
7,000000 1,000000 0,502000 2,873000 20,072000 0,960000 18,000000 2,218000 47,000000
16,000000 5,000000 2,803000 13,697000 42,739000 1,802000 31,000000 2,023000 76,000000
15,000000 4,000000 0,977000 3,210000 19,585000 1,201000 20,000000 1,403000 64,000000
8,000000 2,000000 0,882000 3,524000 20,198000 1,286000 26,000000 1,406000 57,000000
8,000000 1,000000 0,771000 3,099000 19,806000 0,728000 33,000000 0,846000 37,000000
7,000000 2,000000 0,828000 3,062000 20,372000 1,167000 23,000000 1,402000 59,000000
8,000000 2,000000 0,642000 2,977000 19,624000 1,198000 28,000000 1,415000 46,000000
8,000000 1,000000 0,501000 3,178000 16,996000 0,900000 45,000000 1,050000 44,000000
8,000000 1,000000 0,925000 2,917000 19,798000 1,204000 25,000000 1,517000 60,000000
9,000000 1,000000 0,522000 2,920000 19,304000 1,218000 24,000000 1,395000 62,000000
11,000000 2,000000 0,980000 2,930000 19,634000 1,295000 21,000000 1,502000 59,000000
16,000000 2,000000 0,577000 2,953000 20,463000 1,217000 20,000000 1,444000 59,000000
10,000000 2,000000 0,684000 3,309000 20,068000 1,188000 21,000000 1,452000 61,000000
20,000000 2,000000 0,572000 2,917000 18,999000 1,533000 20,000000 1,135000 52,000000
10,000000 3,000000 1,052000 4,636000 22,230000 1,409000 26,000000 1,702000 76,000000
8,000000 1,000000 0,713000 3,628000 20,206000 1,252000 25,000000 1,407000 60,000000
6,000000 1,000000 0,509000 3,726000 20,281000 0,959000 17,000000 1,260000 32,000000
7,000000 2,000000 0,542000 3,687000 19,054000 1,229000 22,000000 1,383000 62,000000
7,000000 2,000000 0,782000 4,975000 20,314000 1,216000 21,000000 1,511000 61,000000
12,000000 1,000000 0,959000 2,949000 19,053000 0,908000 13,000000 0,950000 43,000000
8,000000 1,000000 0,647000 3,275000 20,378000 1,273000 44,000000 1,558000 59,000000
6,000000 1,000000 0,502000 2,928000 20,452000 1,050000 11,000000 3,391000 52,000000
8,000000 3,000000 0,832000 4,440000 24,146000 1,091000 22,000000 1,484000 52,000000
6,000000 1,000000 0,500000 3,561000 12,807000 0,686000 8,000000 0,853000 38,000000
8,000000 1,000000 0,777000 4,588000 19,653000 1,187000 23,000000 1,433000 59,000000
5,000000 1,000000 0,620000 3,769000 20,244000 0,980000 20,000000 4,141000 67,000000
5,000000 2,000000 0,503000 2,906000 20,177000 1,193000 21,000000 1,953000 61,000000
7,000000 1,000000 0,499000 2,875000 19,207000 0,998000 17,000000 1,707000 52,000000
7,000000 2,000000 0,526000 3,981000 20,140000 1,196000 23,000000 1,528000 57,000000
8,000000 1,000000 0,513000 2,898000 18,709000 0,682000 12,000000 1,719000 53,000000
7,000000 2,000000 0,621000 3,149000 20,493000 1,195000 15,000000 1,719000 62,000000
7,000000 1,000000 0,500000 2,872000 19,860000 0,970000 18,000000 2,224000 50,000000
7,000000 1,000000 0,524000 2,873000 20,251000 1,247000 28,000000 1,853000 67,000000
6,000000 1,000000 0,502000 2,864000 19,160000 0,917000 23,000000 1,652000 47,000000
6,000000 1,000000 0,812000 2,940000 20,227000 1,341000 24,000000 1,590000 63,000000
6,000000 2,000000 0,516000 2,902000 21,411000 1,018000 16,000000 1,662000 45,000000
8,000000 2,000000 0,742000 2,965000 19,713000 1,045000 20,000000 1,401000 52,000000
7,000000 2,000000 0,536000 2,939000 19,397000 0,744000 9,000000 0,963000 38,000000
9,000000 1,000000 0,663000 3,324000 20,371000 1,214000 24,000000 1,926000 60,000000
8,000000 2,000000 0,506000 2,914000 19,560000 0,973000 20,000000 1,667000 48,000000
7,000000 2,000000 0,608000 2,948000 18,663000 0,659000 8,000000 0,951000 38,000000
